11440	31.58981612	0.321524846
15238	32.92981612	0.582650804
15238	33.13981612	0.301362378
59968	29.47222948	0.049784171
73537	32.57222948	0.059765559
76779	30.7	0.36
76779	31.1	0.4
76856	30.7	0.36
76856	31.1	0.4
77137	31.07222948	0.059754287
77267	30.7	0.36
77267	31.17222948	0.019918357
78228	31	0.4
78237	30.7	0.36
78237	31.1	0.4
78237	31.89	0.21
78237	31	0.4
78464	30.7	0.36
78983	30.36	0.31
79067	30.29	0.2
79067	30.7	0.36
79067	31.39	0.32
79067	32.24	0.55
79531	30.7	0.36
80811	30.7	0.36
80811	31.1	0.4
81013	30.7	0.36
81023	31.47222948	0.069716964
82743	34.6	0.36
82743	35	0.3
82743	35.05	0.2
83034	29.8	0.4
83034	31.1	0.4
83034	31.1	0.2
83034	31.17222948	0.059755072
84128	34.6	0.36
84128	35	0.3
84128	35.05	0.2
84162	34.6	0.36
84162	35	0.3
84162	35.05	0.2
85598	34.6	0.36
85598	35	0.3
85598	35.05	0.2
86083	27.2	0.3
86272	34.6	0.36
86272	35	0.3
86272	35.05	0.2
90759	27.93357906	0.607471817
90759	27.59	0.18
90759	27.66	0.35
90759	27.87	0.4
90759	28.17222948	0.049774257
94108	28.23	0.17
94108	28.58	0.23
125474	35.22	0.29
126023	35.22	0.29
126426	35.22	0.29
126850	35.22	0.29
127094	35.22	0.29
127104	35.22	0.29
127178	35.22	0.29
127897	35.22	0.29
144749	34.07222948	0.049813201
145282	33.6	0.3
145282	33.97222948	0.069737714
145350	33.47222948	0.209201434
146317	31.87222948	0.019920143

147440
